052245.7+024746.4|0105 01214 1|6.7
052654.3+033652.8|0105 01852 1|7.2
052432.5+033103.9|0105 01866 1|7.8
052806.9+033208.7|0105 02036 1|7.5
052631.2+025609.3|0105 02661 1|6.7
052436.1+022111.4|0105 02690 1|6.3
052933.5+030852.6|0105 02709 1|7.1
052715.4+022028.3|0105 02779 1|6.5
052251.0+033308.0|0105 02799 1|6.8
052250.0+033240.0|0105 02800 1|5.0
052650.2+030544.3|0105 02801 1|4.6
050047.3+043403.5|0106 00112 1|6.8
050605.3+034718.6|0106 00762 1|7.5
050735.9+043230.4|0107 00082 1|8.0
051146.4+042412.7|0107 01139 1|7.1
051033.0+051853.8|0107 01434 1|7.3
051149.8+052431.9|0107 01538 1|7.8
051444.0+050922.1|0107 03085 1|5.7
052211.2+052343.1|0108 00172 1|7.1
051732.2+052856.3|0108 01990 1|7.2
051512.2+041613.4|0108 02067 1|7.6
052119.3+040043.0|0108 02091 1|6.5
052623.1+035123.7|0109 00243 1|7.7
052331.1+051923.1|0109 00326 1|6.4
052708.3+035120.0|0109 00729 1|6.7
052723.7+041541.5|0109 02431 1|7.5
052644.9+040456.3|0109 02637 1|7.1
050345.6+063825.1|0110 00077 1|7.6
050231.5+072526.5|0110 00319 1|7.0
050506.5+060748.8|0110 00641 1|7.8
051201.2+065017.3|0111 00293 1|7.6
051131.0+054211.6|0111 00530 1|7.9
051207.8+065135.4|0111 00811 1|7.8
050945.9+071053.7|0111 01835 1|7.5
051741.0+072112.0|0112 00182 1|7.4
052206.0+070522.7|0112 00600 1|7.8
052201.2+070050.8|0112 00991 1|7.6
052638.8+065207.1|0113 00534 1|6.4
052660.0+071013.0|0113 00714 1|7.0
052550.5+055721.6|0113 01748 1|7.8
053034.7+002156.0|0114 00525 1|7.6
053129.9+014124.1|0114 01278 1|7.5
053238.0+000043.0|0114 02260 1|6.4
053357.6+012427.5|0114 02363 1|6.5
053750.3+001902.3|0115 00061 1|7.9
053756.3+005914.7|0115 01105 1|8.0
053753.5+005807.0|0115 01423 1|7.5
053938.0+005001.8|0115 01457 1|7.0
053949.1+012930.2|0115 02182 1|6.9
054105.6+002015.9|0115 02291 1|5.9
054228.6+012828.7|0115 02299 1|5.0
054958.4+000911.9|0116 00043 1|7.9
054612.4+013204.7|0116 00052 1|7.6
